INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (2246 inline 8-bit counters): 2246 [0x55c44eda4f70, 0x55c44eda5836), 
INFO: Loaded 1 PC tables (2246 PCs): 2246 [0x55c44eda5838,0x55c44edae498), 
INFO: -fork=1: fuzzing in separate process(s)
#1147973: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33973 time: 3592s job: 33974 dft_time: 0
==3679197== ERROR: libFuzzer: fuzz target exited
#1148084: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33974 time: 3593s job: 33975 dft_time: 0
==3679311== ERROR: libFuzzer: fuzz target exited
#1148111: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33975 time: 3593s job: 33976 dft_time: 0
==3679473== ERROR: libFuzzer: fuzz target exited
#1148136: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33976 time: 3593s job: 33977 dft_time: 0
==3679613== ERROR: libFuzzer: fuzz target exited
#1148156: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33977 time: 3593s job: 33978 dft_time: 0
==3679731== ERROR: libFuzzer: fuzz target exited
#1148214: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33978 time: 3593s job: 33979 dft_time: 0
==3679895== ERROR: libFuzzer: fuzz target exited
#1148241: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33979 time: 3593s job: 33980 dft_time: 0
==3679996== ERROR: libFuzzer: fuzz target exited
#1148284: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33980 time: 3593s job: 33981 dft_time: 0
==3680145== ERROR: libFuzzer: fuzz target exited
#1148298: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33981 time: 3593s job: 33982 dft_time: 0
==3680249== ERROR: libFuzzer: fuzz target exited
#1148311: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33982 time: 3593s job: 33983 dft_time: 0
==3680343== ERROR: libFuzzer: fuzz target exited
#1148329: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33983 time: 3594s job: 33984 dft_time: 0
==3680467== ERROR: libFuzzer: fuzz target exited
#1148346: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33984 time: 3594s job: 33985 dft_time: 0
==3680617== ERROR: libFuzzer: fuzz target exited
#1148359: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33985 time: 3594s job: 33986 dft_time: 0
==3680759== ERROR: libFuzzer: fuzz target exited
#1148371: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33986 time: 3594s job: 33987 dft_time: 0
==3680862== ERROR: libFuzzer: fuzz target exited
#1148388: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33987 time: 3594s job: 33988 dft_time: 0
==3680963== ERROR: libFuzzer: fuzz target exited
#1148407: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33988 time: 3594s job: 33989 dft_time: 0
==3681108== ERROR: libFuzzer: fuzz target exited
#1148428: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33989 time: 3594s job: 33990 dft_time: 0
==3681250== ERROR: libFuzzer: fuzz target exited
#1148447: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33990 time: 3594s job: 33991 dft_time: 0
==3681347== ERROR: libFuzzer: fuzz target exited
#1148459: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33991 time: 3594s job: 33992 dft_time: 0
==3681444== ERROR: libFuzzer: fuzz target exited
#1148472: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33992 time: 3594s job: 33993 dft_time: 0
==3681536== ERROR: libFuzzer: fuzz target exited
#1148485: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33993 time: 3595s job: 33994 dft_time: 0
==3681637== ERROR: libFuzzer: fuzz target exited
#1148503: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33994 time: 3595s job: 33995 dft_time: 0
==3681759== ERROR: libFuzzer: fuzz target exited
#1148519: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33995 time: 3595s job: 33996 dft_time: 0
==3681839== ERROR: libFuzzer: fuzz target exited
#1148532: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33996 time: 3595s job: 33997 dft_time: 0
==3681958== ERROR: libFuzzer: fuzz target exited
#1148551: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33997 time: 3595s job: 33998 dft_time: 0
==3682105== ERROR: libFuzzer: fuzz target exited
#1148570: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33998 time: 3595s job: 33999 dft_time: 0
==3682280== ERROR: libFuzzer: fuzz target exited
#1148595: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33999 time: 3595s job: 34000 dft_time: 0
==3682381== ERROR: libFuzzer: fuzz target exited
#1148607: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/34000 time: 3595s job: 34001 dft_time: 0
==3682511== ERROR: libFuzzer: fuzz target exited
#1148634: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/34001 time: 3595s job: 34002 dft_time: 0
==3682627== ERROR: libFuzzer: fuzz target exited
#1148653: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/34002 time: 3596s job: 34003 dft_time: 0
==3682780== ERROR: libFuzzer: fuzz target exited
#1148669: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/34003 time: 3596s job: 34004 dft_time: 0
==3682962== ERROR: libFuzzer: fuzz target exited
