INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1344 inline 8-bit counters): 1344 [0x5586009196f0, 0x558600919c30), 
INFO: Loaded 1 PC tables (1344 PCs): 1344 [0x558600919c30,0x55860091f030), 
INFO: -fork=1: fuzzing in separate process(s)
#42822: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42821 time: 3594s job: 42822 dft_time: 0
==3680572== ERROR: libFuzzer: fuzz target exited
#42823: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42822 time: 3594s job: 42823 dft_time: 0
==3680709== ERROR: libFuzzer: fuzz target exited
#42824: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42823 time: 3594s job: 42824 dft_time: 0
==3680811== ERROR: libFuzzer: fuzz target exited
#42825: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42824 time: 3594s job: 42825 dft_time: 0
==3680920== ERROR: libFuzzer: fuzz target exited
#42826: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42825 time: 3594s job: 42826 dft_time: 0
==3681030== ERROR: libFuzzer: fuzz target exited
#42827: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42826 time: 3594s job: 42827 dft_time: 0
==3681098== ERROR: libFuzzer: fuzz target exited
#42828: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42827 time: 3594s job: 42828 dft_time: 0
==3681166== ERROR: libFuzzer: fuzz target exited
#42829: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42828 time: 3594s job: 42829 dft_time: 0
==3681291== ERROR: libFuzzer: fuzz target exited
#42830: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42829 time: 3594s job: 42830 dft_time: 0
==3681374== ERROR: libFuzzer: fuzz target exited
#42831: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42830 time: 3594s job: 42831 dft_time: 0
==3681499== ERROR: libFuzzer: fuzz target exited
#42832: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42831 time: 3595s job: 42832 dft_time: 0
==3681565== ERROR: libFuzzer: fuzz target exited
#42833: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42832 time: 3595s job: 42833 dft_time: 0
==3681641== ERROR: libFuzzer: fuzz target exited
#42834: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42833 time: 3595s job: 42834 dft_time: 0
==3681714== ERROR: libFuzzer: fuzz target exited
#42835: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42834 time: 3595s job: 42835 dft_time: 0
==3681788== ERROR: libFuzzer: fuzz target exited
#42836: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42835 time: 3595s job: 42836 dft_time: 0
==3681875== ERROR: libFuzzer: fuzz target exited
#42837: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42836 time: 3595s job: 42837 dft_time: 0
==3681943== ERROR: libFuzzer: fuzz target exited
#42838: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42837 time: 3595s job: 42838 dft_time: 0
==3682074== ERROR: libFuzzer: fuzz target exited
#42839: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42838 time: 3595s job: 42839 dft_time: 0
==3682183== ERROR: libFuzzer: fuzz target exited
#42840: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42839 time: 3595s job: 42840 dft_time: 0
==3682335== ERROR: libFuzzer: fuzz target exited
#42841: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42840 time: 3595s job: 42841 dft_time: 0
==3682436== ERROR: libFuzzer: fuzz target exited
#42842: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42841 time: 3595s job: 42842 dft_time: 0
==3682519== ERROR: libFuzzer: fuzz target exited
#42843: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42842 time: 3595s job: 42843 dft_time: 0
