INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1145 inline 8-bit counters): 1145 [0x55bddd5f78f0, 0x55bddd5f7d69), 
INFO: Loaded 1 PC tables (1145 PCs): 1145 [0x55bddd5f7d70,0x55bddd5fc500), 
INFO: -fork=1: fuzzing in separate process(s)
==3680380== ERROR: libFuzzer: fuzz target exited
#42892: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42891 time: 3594s job: 42892 dft_time: 0
==3680434== ERROR: libFuzzer: fuzz target exited
#42893: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42892 time: 3594s job: 42893 dft_time: 0
==3680538== ERROR: libFuzzer: fuzz target exited
#42894: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42893 time: 3594s job: 42894 dft_time: 0
==3680616== ERROR: libFuzzer: fuzz target exited
#42895: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42894 time: 3594s job: 42895 dft_time: 0
==3680719== ERROR: libFuzzer: fuzz target exited
#42896: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42895 time: 3594s job: 42896 dft_time: 0
==3680785== ERROR: libFuzzer: fuzz target exited
#42897: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42896 time: 3594s job: 42897 dft_time: 0
==3680863== ERROR: libFuzzer: fuzz target exited
#42898: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42897 time: 3594s job: 42898 dft_time: 0
==3680978== ERROR: libFuzzer: fuzz target exited
#42899: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42898 time: 3594s job: 42899 dft_time: 0
==3681082== ERROR: libFuzzer: fuzz target exited
#42900: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42899 time: 3594s job: 42900 dft_time: 0
==3681183== ERROR: libFuzzer: fuzz target exited
#42901: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42900 time: 3594s job: 42901 dft_time: 0
==3681281== ERROR: libFuzzer: fuzz target exited
#42902: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42901 time: 3594s job: 42902 dft_time: 0
==3681400== ERROR: libFuzzer: fuzz target exited
#42903: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42902 time: 3594s job: 42903 dft_time: 0
==3681482== ERROR: libFuzzer: fuzz target exited
#42904: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42903 time: 3595s job: 42904 dft_time: 0
==3681560== ERROR: libFuzzer: fuzz target exited
#42905: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42904 time: 3595s job: 42905 dft_time: 0
==3681671== ERROR: libFuzzer: fuzz target exited
#42906: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42905 time: 3595s job: 42906 dft_time: 0
==3681774== ERROR: libFuzzer: fuzz target exited
#42907: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42906 time: 3595s job: 42907 dft_time: 0
==3681869== ERROR: libFuzzer: fuzz target exited
#42908: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42907 time: 3595s job: 42908 dft_time: 0
==3681954== ERROR: libFuzzer: fuzz target exited
#42909: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42908 time: 3595s job: 42909 dft_time: 0
==3682051== ERROR: libFuzzer: fuzz target exited
#42910: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42909 time: 3595s job: 42910 dft_time: 0
==3682203== ERROR: libFuzzer: fuzz target exited
#42911: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42910 time: 3595s job: 42911 dft_time: 0
==3682344== ERROR: libFuzzer: fuzz target exited
#42912: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42911 time: 3595s job: 42912 dft_time: 0
==3682411== ERROR: libFuzzer: fuzz target exited
#42913: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42912 time: 3595s job: 42913 dft_time: 0
==3682478== ERROR: libFuzzer: fuzz target exited
#42914: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42913 time: 3595s job: 42914 dft_time: 0
==3682579== ERROR: libFuzzer: fuzz target exited
#42915: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42914 time: 3595s job: 42915 dft_time: 0
==3682646== ERROR: libFuzzer: fuzz target exited
#42916: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42915 time: 3596s job: 42916 dft_time: 0
==3682721== ERROR: libFuzzer: fuzz target exited
#42917: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42916 time: 3596s job: 42917 dft_time: 0
==3682834== ERROR: libFuzzer: fuzz target exited
#42918: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42917 time: 3596s job: 42918 dft_time: 0
==3682898== ERROR: libFuzzer: fuzz target exited
#42919: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42918 time: 3596s job: 42919 dft_time: 0
==3682971== ERROR: libFuzzer: fuzz target exited
#42920: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42919 time: 3596s job: 42920 dft_time: 0
==3683105== ERROR: libFuzzer: fuzz target exited
#42921: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42920 time: 3596s job: 42921 dft_time: 0
==3683170== ERROR: libFuzzer: fuzz target exited
#42922: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42921 time: 3596s job: 42922 dft_time: 0
==3683243== ERROR: libFuzzer: fuzz target exited
#42923: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42922 time: 3596s job: 42923 dft_time: 0
==3683346== ERROR: libFuzzer: fuzz target exited
#42924: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42923 time: 3596s job: 42924 dft_time: 0
==3683468== ERROR: libFuzzer: fuzz target exited
#42925: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42924 time: 3596s job: 42925 dft_time: 0
==3683566== ERROR: libFuzzer: fuzz target exited
#42926: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42925 time: 3596s job: 42926 dft_time: 0
==3683661== ERROR: libFuzzer: fuzz target exited
#42927: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42926 time: 3596s job: 42927 dft_time: 0
==3683791== ERROR: libFuzzer: fuzz target exited
#42928: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42927 time: 3597s job: 42928 dft_time: 0
==3683884== ERROR: libFuzzer: fuzz target exited
#42929: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42928 time: 3597s job: 42929 dft_time: 0
==3683984== ERROR: libFuzzer: fuzz target exited
#42930: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42929 time: 3597s job: 42930 dft_time: 0
==3684067== ERROR: libFuzzer: fuzz target exited
#42931: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42930 time: 3597s job: 42931 dft_time: 0
==3684166== ERROR: libFuzzer: fuzz target exited
#42932: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42931 time: 3597s job: 42932 dft_time: 0
==3684267== ERROR: libFuzzer: fuzz target exited
