INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (10602 inline 8-bit counters): 10602 [0x5569d27d82b0, 0x5569d27dac1a), 
INFO: Loaded 1 PC tables (10602 PCs): 10602 [0x5569d27dac20,0x5569d28042c0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564291.dir
==3630126== ERROR: libFuzzer: deadly signal
#1788644: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5835 time: 3551s job: 5840 dft_time: 0
==3631326== ERROR: libFuzzer: deadly signal
#1789607: cov: 1001 ft: 2119 corp: 191 exec/s: 963 oom/timeout/crash: 0/0/5836 time: 3553s job: 5841 dft_time: 0
==3631559== ERROR: libFuzzer: deadly signal
#1789774: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5837 time: 3553s job: 5842 dft_time: 0
==3633620== ERROR: libFuzzer: deadly signal
#1790069: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5838 time: 3554s job: 5843 dft_time: 0
==3634003== ERROR: libFuzzer: deadly signal
#1790444: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5839 time: 3555s job: 5844 dft_time: 0
==3634798== ERROR: libFuzzer: deadly signal
#1790554: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5840 time: 3555s job: 5845 dft_time: 0
==3635860== ERROR: libFuzzer: deadly signal
#1790867: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5841 time: 3556s job: 5846 dft_time: 0
==3636204== ERROR: libFuzzer: deadly signal
#1790960: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5842 time: 3556s job: 5847 dft_time: 0
==3636978== ERROR: libFuzzer: deadly signal
#1791036: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5843 time: 3556s job: 5848 dft_time: 0
==3637306== ERROR: libFuzzer: deadly signal
#1791374: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5844 time: 3557s job: 5849 dft_time: 0
==3637699== ERROR: libFuzzer: deadly signal
#1791523: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5845 time: 3558s job: 5850 dft_time: 0
==3638525== ERROR: libFuzzer: deadly signal
#1791561: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5846 time: 3558s job: 5851 dft_time: 0
==3638796== ERROR: libFuzzer: deadly signal
#1791691: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5847 time: 3558s job: 5852 dft_time: 0
==3639038== ERROR: libFuzzer: deadly signal
#1791709: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5848 time: 3558s job: 5853 dft_time: 0
==3639365== ERROR: libFuzzer: deadly signal
#1791921: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5849 time: 3558s job: 5854 dft_time: 0
==3639563== ERROR: libFuzzer: deadly signal
#1792042: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5850 time: 3559s job: 5855 dft_time: 0
==3640052== ERROR: libFuzzer: deadly signal
#1792619: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5851 time: 3560s job: 5856 dft_time: 0
==3640400== ERROR: libFuzzer: deadly signal
#1792705: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5852 time: 3560s job: 5857 dft_time: 0
==3641704== ERROR: libFuzzer: deadly signal
#1793388: cov: 1001 ft: 2119 corp: 191 exec/s: 683 oom/timeout/crash: 0/0/5853 time: 3562s job: 5858 dft_time: 0
==3642032== ERROR: libFuzzer: deadly signal
#1793438: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5854 time: 3562s job: 5859 dft_time: 0
==3643933== ERROR: libFuzzer: deadly signal
