INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x55a92151e870, 0x55a92151ec82), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x55a92151ec88,0x55a921522da8), 
INFO: -fork=1: fuzzing in separate process(s)
#42962: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42961 time: 3594s job: 42962 dft_time: 0
==3680603== ERROR: libFuzzer: fuzz target exited
#42963: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42962 time: 3594s job: 42963 dft_time: 0
==3680736== ERROR: libFuzzer: fuzz target exited
#42964: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42963 time: 3594s job: 42964 dft_time: 0
==3680817== ERROR: libFuzzer: fuzz target exited
#42965: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42964 time: 3594s job: 42965 dft_time: 0
==3680936== ERROR: libFuzzer: fuzz target exited
#42966: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42965 time: 3594s job: 42966 dft_time: 0
==3681021== ERROR: libFuzzer: fuzz target exited
#42967: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42966 time: 3594s job: 42967 dft_time: 0
==3681130== ERROR: libFuzzer: fuzz target exited
#42968: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42967 time: 3594s job: 42968 dft_time: 0
==3681211== ERROR: libFuzzer: fuzz target exited
#42969: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42968 time: 3594s job: 42969 dft_time: 0
==3681329== ERROR: libFuzzer: fuzz target exited
#42970: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42969 time: 3594s job: 42970 dft_time: 0
==3681416== ERROR: libFuzzer: fuzz target exited
#42971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42970 time: 3595s job: 42971 dft_time: 0
==3681478== ERROR: libFuzzer: fuzz target exited
#42972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42971 time: 3595s job: 42972 dft_time: 0
==3681579== ERROR: libFuzzer: fuzz target exited
#42973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42972 time: 3595s job: 42973 dft_time: 0
==3681654== ERROR: libFuzzer: fuzz target exited
#42974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42973 time: 3595s job: 42974 dft_time: 0
==3681719== ERROR: libFuzzer: fuzz target exited
#42975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42974 time: 3595s job: 42975 dft_time: 0
==3681829== ERROR: libFuzzer: fuzz target exited
#42976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42975 time: 3595s job: 42976 dft_time: 0
==3681927== ERROR: libFuzzer: fuzz target exited
#42977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42976 time: 3595s job: 42977 dft_time: 0
==3682040== ERROR: libFuzzer: fuzz target exited
#42978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42977 time: 3595s job: 42978 dft_time: 0
==3682167== ERROR: libFuzzer: fuzz target exited
#42979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42978 time: 3595s job: 42979 dft_time: 0
==3682296== ERROR: libFuzzer: fuzz target exited
#42980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42979 time: 3595s job: 42980 dft_time: 0
==3682383== ERROR: libFuzzer: fuzz target exited
#42981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42980 time: 3595s job: 42981 dft_time: 0
==3682498== ERROR: libFuzzer: fuzz target exited
#42982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42981 time: 3595s job: 42982 dft_time: 0
==3682583== ERROR: libFuzzer: fuzz target exited
#42983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42982 time: 3596s job: 42983 dft_time: 0
==3682687== ERROR: libFuzzer: fuzz target exited
#42984: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42983 time: 3596s job: 42984 dft_time: 0
==3682791== ERROR: libFuzzer: fuzz target exited
#42985: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42984 time: 3596s job: 42985 dft_time: 0
==3682868== ERROR: libFuzzer: fuzz target exited
#42986: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42985 time: 3596s job: 42986 dft_time: 0
==3682956== ERROR: libFuzzer: fuzz target exited
#42987: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42986 time: 3596s job: 42987 dft_time: 0
==3683067== ERROR: libFuzzer: fuzz target exited
#42988: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42987 time: 3596s job: 42988 dft_time: 0
==3683200== ERROR: libFuzzer: fuzz target exited
#42989: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42988 time: 3596s job: 42989 dft_time: 0
==3683318== ERROR: libFuzzer: fuzz target exited
#42990: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42989 time: 3596s job: 42990 dft_time: 0
==3683395== ERROR: libFuzzer: fuzz target exited
#42991: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42990 time: 3596s job: 42991 dft_time: 0
==3683495== ERROR: libFuzzer: fuzz target exited
#42992: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42991 time: 3596s job: 42992 dft_time: 0
==3683600== ERROR: libFuzzer: fuzz target exited
#42993: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42992 time: 3596s job: 42993 dft_time: 0
==3683696== ERROR: libFuzzer: fuzz target exited
#42994: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42993 time: 3597s job: 42994 dft_time: 0
==3683787== ERROR: libFuzzer: fuzz target exited
#42995: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42994 time: 3597s job: 42995 dft_time: 0
==3683911== ERROR: libFuzzer: fuzz target exited
#42996: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42995 time: 3597s job: 42996 dft_time: 0
==3684020== ERROR: libFuzzer: fuzz target exited
#42997: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42996 time: 3597s job: 42997 dft_time: 0
==3684103== ERROR: libFuzzer: fuzz target exited
#42998: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42997 time: 3597s job: 42998 dft_time: 0
==3684204== ERROR: libFuzzer: fuzz target exited
#42999: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42998 time: 3597s job: 42999 dft_time: 0
==3684294== ERROR: libFuzzer: fuzz target exited
#43000: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42999 time: 3597s job: 43000 dft_time: 0
==3684383== ERROR: libFuzzer: fuzz target exited
#43001: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43000 time: 3597s job: 43001 dft_time: 0
==3684498== ERROR: libFuzzer: fuzz target exited
#43002: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43001 time: 3597s job: 43002 dft_time: 0
