rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
fnc_substr,src/common/lil_mod.rs,2058,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[Option<&_lil_value_t>]>) -> Option<Box<_lil_value_t>>",yes,,fnc_substr,fnc_substr
fnc_rand,src/common/lil_mod.rs,2124,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_rand,fnc_rand
lil_alloc_integer,src/common/lil_mod.rs,2152,(num: i64) -> Option<Box<_lil_value_t>>,yes,,lil_alloc_integer,lil_alloc_integer
fnc_char,src/common/lil_mod.rs,2162,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_char,fnc_catcher
fnc_charat,src/common/lil_mod.rs,2185,"(lil: Option<&_lil_t>, argc: usize, argv: Option<&[_lil_value_t]>) -> Option<Box<_lil_value_t>>",yes,,fnc_charat,fnc_charat
lil_set_error,src/common/lil_mod.rs,2224,"(lil: Option<&mut _lil_t>, msg: Option<&str>) -> ()",yes,,lil_set_error,lil_eval_expr
lil_set_error_at,src/common/lil_mod.rs,2241,"(lil: Option<&mut _lil_t>, pos: usize, msg: Option<&str>) -> ()",yes,,lil_set_error_at,real_inc
real_trim,src/common/lil_mod.rs,2258,"(str_: Option<&str>, chars: Option<&str>, left: i32, right: i32) -> Option<Box<_lil_value_t>>",yes,,real_trim,real_trim
fnc_catcher,src/common/lil_mod.rs,2325,"(lil: Option<&mut _lil_t>, argc: usize, argv: Option<&[Option<&_lil_value_t>]>) -> Option<Box<_lil_value_t>>",yes,,fnc_catcher,fnc_char
lil_list_to_value,src/common/lil_mod.rs,2354,"(list: Option<&_lil_list_t>, do_escape: i32) -> Option<Box<_lil_value_t>>",yes,,lil_list_to_value,lil_list_to_value
add_func,src/common/lil_mod.rs,2403,"(lil: Option<&mut _lil_t>, name: Option<&str>) -> Option<Box<_lil_func_t>>",yes,,add_func,fnc_rename
lil_get_var_or,src/common/lil_mod.rs,2444,"(lil: Option<&'env _lil_t>, name: Option<&str>, defvalue: Option<&'env _lil_value_t>) -> Option<&'env _lil_value_t>",yes,,lil_get_var_or,lil_get_var_or
