INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1049 inline 8-bit counters): 1049 [0x55f6c0e89230, 0x55f6c0e89649), 
INFO: Loaded 1 PC tables (1049 PCs): 1049 [0x55f6c0e89650,0x55f6c0e8d7e0), 
INFO: -fork=1: fuzzing in separate process(s)
==2724017== ERROR: libFuzzer: fuzz target exited
#165439: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165438 time: 3598s job: 165439 dft_time: 0
==2724033== ERROR: libFuzzer: fuzz target exited
#165440: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165439 time: 3598s job: 165440 dft_time: 0
==2724050== ERROR: libFuzzer: fuzz target exited
#165441: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165440 time: 3598s job: 165441 dft_time: 0
==2724066== ERROR: libFuzzer: fuzz target exited
#165442: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165441 time: 3598s job: 165442 dft_time: 0
==2724084== ERROR: libFuzzer: fuzz target exited
#165443: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165442 time: 3598s job: 165443 dft_time: 0
==2724099== ERROR: libFuzzer: fuzz target exited
#165444: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165443 time: 3598s job: 165444 dft_time: 0
==2724113== ERROR: libFuzzer: fuzz target exited
#165445: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165444 time: 3598s job: 165445 dft_time: 0
==2724129== ERROR: libFuzzer: fuzz target exited
#165446: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165445 time: 3598s job: 165446 dft_time: 0
==2724145== ERROR: libFuzzer: fuzz target exited
#165447: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165446 time: 3598s job: 165447 dft_time: 0
==2724163== ERROR: libFuzzer: fuzz target exited
#165448: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165447 time: 3598s job: 165448 dft_time: 0
==2724179== ERROR: libFuzzer: fuzz target exited
#165449: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165448 time: 3598s job: 165449 dft_time: 0
==2724196== ERROR: libFuzzer: fuzz target exited
#165450: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165449 time: 3598s job: 165450 dft_time: 0
==2724212== ERROR: libFuzzer: fuzz target exited
#165451: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165450 time: 3598s job: 165451 dft_time: 0
==2724227== ERROR: libFuzzer: fuzz target exited
#165452: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165451 time: 3598s job: 165452 dft_time: 0
==2724247== ERROR: libFuzzer: fuzz target exited
#165453: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165452 time: 3598s job: 165453 dft_time: 0
==2724263== ERROR: libFuzzer: fuzz target exited
#165454: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165453 time: 3598s job: 165454 dft_time: 0
==2724280== ERROR: libFuzzer: fuzz target exited
#165455: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165454 time: 3598s job: 165455 dft_time: 0
==2724298== ERROR: libFuzzer: fuzz target exited
#165456: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165455 time: 3598s job: 165456 dft_time: 0
==2724314== ERROR: libFuzzer: fuzz target exited
#165457: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165456 time: 3598s job: 165457 dft_time: 0
