rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_set32bitInt,src/lib.rs,2235,"(buffer: *mut u8, value: libc::c_uint) -> ()",yes,,,lodepng_set32bitInt
paethPredictor,src/lib.rs,2245,"(a: i16, b: i16, c: i16) -> u8",yes,,,paethPredictor
peekBits,src/lib.rs,2267,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> libc::c_uint",yes,,,peekBits
readBitFromReversedStream,src/lib.rs,2272,"(bitpointer: *mut libc::size_t, bitstream: *const u8) -> u8",yes,,,readBitFromReversedStream
reverseBits,src/lib.rs,2284,"(bits: u32, num: u32) -> u32",yes,,,reverseBits
searchCodeIndex,src/lib.rs,2298,"(array: *const u32, array_size: usize, value: usize) -> usize",yes,,,searchCodeIndex
setBitOfReversedStream,src/lib.rs,2319,"(bitpointer: *mut size_t, bitstream: *mut u8, bit: u8) -> ()",yes,,,setBitOfReversedStream
ucvector_init,src/lib.rs,2335,"(buffer: *mut libc::c_uchar, size: libc::size_t) -> ucvector",yes,,,ucvector_init
uivector_init,src/lib.rs,2349,(p: *mut uivector) -> (),yes,,,uivector_init
updateHashChain,src/lib.rs,2359,"(hash: *mut Hash, wpos: usize, hashval: u32, numzeros: u16) -> ()",yes,,,updateHashChain
update_adler32,src/lib.rs,2373,"(adler: u32, data: *const u8, len: u32) -> u32",yes,,,update_adler32
LodePNGIText_init,src/lib.rs,2395,(info: *mut LodePNGInfo) -> (),yes,,,LodePNGIText_init
LodePNGText_init,src/lib.rs,2404,(info: *mut LodePNGInfo) -> (),yes,,,LodePNGText_init
LodePNGUnknownChunks_init,src/lib.rs,2411,(info: *mut LodePNGInfo) -> (),yes,,,LodePNGUnknownChunks_init
getPixelColorRGBA16,src/lib.rs,2425,"(r: *mut u16, g: *mut u16, b: *mut u16, a: *mut u16, in_ptr: *const u8, i: usize, mode: *const LodePNGColorMode) -> ()",yes,,,getPixelColorRGBA16
lodepng_color_mode_equal,src/lib.rs,2478,"(a: *const LodePNGColorMode, b: *const LodePNGColorMode) -> ::core::ffi::c_int",yes,,,lodepng_color_mode_equal
lodepng_color_mode_init,src/lib.rs,2522,(info: *mut LodePNGColorMode) -> (),yes,,,lodepng_color_mode_init
lodepng_convert_rgb,src/lib.rs,2534,"(r_out: *mut u32, g_out: *mut u32, b_out: *mut u32, r_in: u32, g_in: u32, b_in: u32, mode_out: *const LodePNGColorMode, mode_in: *const LodePNGColorMode) -> u32",yes,,,lodepng_convert_rgb
