rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
mbstowcs,src/lodepng.rs,642,"(pwcs: Option<&mut [u32]>, s: Option<&[c_char]>, n: c_ulong) -> c_ulong",,,lodepng_malloc,readChunk_bKGD
wcstombs,src/lodepng.rs,653,"(s: Option<&mut [c_char]>, pwcs: Option<&[u32]>, n: c_ulong) -> c_ulong",,,,readChunk_cHRM
lodepng_malloc,src/lodepng.rs,661,(size: usize) -> Option<&mut u8>,yes,,lodepng_free,lodepng_malloc
lodepng_gtofl,src/lodepng.rs,664,"(a: usize, b: usize, c: usize) -> i32",yes,,,lodepng_gtofl
uivector_push_back,src/lodepng.rs,667,"(p: Option<&mut crate::uivector::Uivector>, c: u32) -> u32",yes,,uivector_push_back,isGrayICCProfile
write_bits_reversed,src/lodepng.rs,676,"(writer: Option<&mut LodePNGBitWriter>, value: u32, nbits: usize) -> ()",,,,searchCodeIndex
translated_bit_manipulation,src/lodepng.rs,688,"(bits: u32, index: u32, input: u32) -> u32",,,,update_adler32
huffman_tree_make_from_lengths,src/lodepng.rs,706,"(tree: Option<&'a mut HuffmanTree>, bitlen: Option<&'a [u32]>, numcodes: usize, maxbitlen: u32) -> u32",,,,getPixelColorsRGB8
ilog2,src/lodepng.rs,716,(i: usize) -> usize,yes,,ilog2i,ilog2i
unfilterScanline,src/lodepng.rs,720,"(recon: Option<&mut [c_uchar]>, scanline: Option<&[c_uchar]>, precon: Option<&[c_uchar]>, bytewidth: c_ulong, filter_type: c_uchar, length: c_ulong) -> u32",yes,,unfilterScanline,unfilterScanline
filter_scanline,src/lodepng.rs,737,"(out: Option<&mut [u8]>, scanline: Option<&[u8]>, prevline: Option<&[u8]>, length: usize, bytewidth: usize, filter_type: u8) -> ()",,,filterScanline,filterScanline
lodepng_chunk_length,src/lodepng.rs,748,(chunk: Option<&[i8]>) -> u32,yes,,lodepng_chunk_length;lodepng_chunk_type_equals,lodepng_chunk_find_const
lodepng_addofl,src/lodepng.rs,751,"(a: usize, b: usize, result: Option<&mut usize>) -> i32",yes,,lodepng_gtofl,lodepng_addofl
adler32,src/lodepng.rs,757,"(data: Option<&[i8]>, amount: usize) -> u32",yes,,adler32,addChunk_sBIT
readBitFromReversedStream,src/lodepng.rs,769,"(bitpointer: Option<&mut i64>, bitstream: Option<&[i8]>) -> c_uchar",yes,,readBitsFromReversedStream,
remove_padding_bits,src/lodepng.rs,778,"(out: Option<&mut [i8]>, input: Option<&[i8]>, olinebits: usize, ilinebits: usize, h: u32) -> ()",,,removePaddingBits,postProcessScanlines
addPaddingBits,src/lodepng.rs,790,"(mut_out: Option<&mut [c_uchar]>, in_data: Option<&[c_uchar]>, olinebits: usize, ilinebits: usize, h: u32) -> ()",yes,,addPaddingBits,removePaddingBits
string_cleanup,src/lodepng.rs,822,(out: Option<&mut Option<&mut c_char>>) -> (),yes,,alloc_string_sized,string_cleanup
ucvector_reserve,src/lodepng.rs,825,"(p: Option<&mut u8>, size: usize) -> usize",yes,,ucvector_reserve;string_cleanup,ucvector_init
ucvector_init,src/lodepng.rs,828,"(buffer: Option<&mut u8>, size: usize) -> u8",yes,,,readBitFromReversedStream
paethPredictor,src/lodepng.rs,831,"(a: i16, b: i16, c: i16) -> u8",yes,,Adam7_getpassvalues,paethPredictor
Adam7_getpassvalues,src/lodepng.rs,834,"(passw: Option<&mut [u32; 7]>, passh: Option<&mut [u32; 7]>, filter_passstart: Option<&mut [u64; 8]>, padded_passstart: Option<&mut [u64; 8]>, passstart: Option<&mut [u64; 8]>, w: u32, h: u32, bpp: u32) -> ()",yes,,,Adam7_getpassvalues
count_zeros,src/lodepng.rs,865,"(data: Option<&c_char>, size: usize, pos: usize, error: bool) -> u32",,,countZeros;updateHashChain,lodepng_chunk_createv
uivector_cleanup,src/lodepng.rs,871,(p: Option<&uivector>) -> (),yes,,uivector_cleanup;uivector_resize,
uivector_resize,src/lodepng.rs,877,"(p: Option<&mut c_void>, size: usize) -> u32",yes,,,ucvector_reserve
uivector_init,src/lodepng.rs,880,(p: Option<&mut ()>) -> (),yes,,uivector_init,lodepng_free
