rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
cJSON_CreateTrue,src/cjson.rs,1556,() -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateNull
cJSON_CreateFalse,src/cjson.rs,1568,() -> Option<&'static mut cJSON<'static>>,yes,,,suffix_object
cJSON_CreateBool,src/cjson.rs,1572,(boolean: i32) -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateBool
cJSON_CreateNumber,src/cjson.rs,1590,(num: f64) -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateNumber
cJSON_CreateArray,src/cjson.rs,1608,() -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateArray
cJSON_CreateObject,src/cjson.rs,1625,() -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateFalse
cJSON_CreateStringReference,src/cjson.rs,1638,(string: Option<&'a str>) -> Option<&'static mut cJSON<'static>>,yes,,,cJSON_CreateStringReference
cJSON_CreateObjectReference,src/cjson.rs,1666,(child: Option<&'a cJSON<'a>>) -> Option<&'a mut cJSON<'a>>,yes,,,cJSON_CreateArrayReference
cJSON_CreateArrayReference,src/cjson.rs,1686,(child: Option<&'a cJSON<'a>>) -> Option<&'a mut cJSON<'a>>,yes,,,cJSON_CreateObjectReference
create_reference,src/cjson.rs,1700,"(item: Option<&'a cJSON<'a>>, hooks: Option<&InternalHooks<'_>>) -> Option<&'a mut cJSON<'a>>",yes,,,create_reference
cJSON_GetObjectItem,src/cjson.rs,1741,"(object: Option<&'a cJSON<'a>>, string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_GetObjectItem
cJSON_GetObjectItemCaseSensitive,src/cjson.rs,1747,"(object: Option<&'a cJSON<'a>>, string: Option<&'a str>) -> Option<&'a mut cJSON<'a>>",yes,,,cJSON_Duplicate
cJSON_Compare,src/cjson.rs,1753,"(a: Option<&'a cJSON<'a>>, b: Option<&'a cJSON<'a>>, case_sensitive: i32) -> i32",yes,,,cJSON_Compare
