INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1071 inline 8-bit counters): 1071 [0x56395e4790f0, 0x56395e47951f), 
INFO: Loaded 1 PC tables (1071 PCs): 1071 [0x56395e479520,0x56395e47d810), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork2769864.dir
#21357485: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143652 time: 3598s job: 143653 dft_time: 0
==1318325== ERROR: libFuzzer: deadly signal
#21357711: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143653 time: 3598s job: 143654 dft_time: 0
==1318346== ERROR: libFuzzer: deadly signal
#21357729: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143654 time: 3598s job: 143655 dft_time: 0
==1318364== ERROR: libFuzzer: deadly signal
#21357739: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143655 time: 3598s job: 143656 dft_time: 0
==1318381== ERROR: libFuzzer: deadly signal
#21357835: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143656 time: 3598s job: 143657 dft_time: 0
==1318401== ERROR: libFuzzer: deadly signal
#21357931: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143657 time: 3598s job: 143658 dft_time: 0
==1318418== ERROR: libFuzzer: deadly signal
#21358173: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143658 time: 3598s job: 143659 dft_time: 0
==1318433== ERROR: libFuzzer: deadly signal
#21358441: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143659 time: 3598s job: 143660 dft_time: 0
==1318450== ERROR: libFuzzer: deadly signal
#21358447: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143660 time: 3598s job: 143661 dft_time: 0
==1318468== ERROR: libFuzzer: deadly signal
#21358709: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143661 time: 3598s job: 143662 dft_time: 0
==1318485== ERROR: libFuzzer: deadly signal
#21358977: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143662 time: 3598s job: 143663 dft_time: 0
==1318500== ERROR: libFuzzer: deadly signal
#21359073: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143663 time: 3598s job: 143664 dft_time: 0
==1318519== ERROR: libFuzzer: deadly signal
#21359169: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143664 time: 3598s job: 143665 dft_time: 0
==1318539== ERROR: libFuzzer: deadly signal
#21359179: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143665 time: 3598s job: 143666 dft_time: 0
==1318562== ERROR: libFuzzer: deadly signal
#21359275: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143666 time: 3598s job: 143667 dft_time: 0
==1318611== ERROR: libFuzzer: deadly signal
#21359371: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143667 time: 3598s job: 143668 dft_time: 0
==1318632== ERROR: libFuzzer: deadly signal
#21359633: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143668 time: 3598s job: 143669 dft_time: 0
==1318656== ERROR: libFuzzer: deadly signal
#21359895: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143669 time: 3598s job: 143670 dft_time: 0
==1318680== ERROR: libFuzzer: deadly signal
#21359905: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143670 time: 3598s job: 143671 dft_time: 0
==1318705== ERROR: libFuzzer: deadly signal
#21360131: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143671 time: 3598s job: 143672 dft_time: 0
==1318722== ERROR: libFuzzer: deadly signal
#21360393: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143672 time: 3598s job: 143673 dft_time: 0
==1318740== ERROR: libFuzzer: deadly signal
#21360661: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143673 time: 3598s job: 143674 dft_time: 0
==1318756== ERROR: libFuzzer: deadly signal
#21360757: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143674 time: 3598s job: 143675 dft_time: 0
==1318770== ERROR: libFuzzer: deadly signal
#21360763: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143675 time: 3598s job: 143676 dft_time: 0
