INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
==217294== ERROR: libFuzzer: deadly signal
#3332331: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60594 time: 3595s job: 60595 dft_time: 0
==217360== ERROR: libFuzzer: deadly signal
#3332349: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60595 time: 3595s job: 60596 dft_time: 0
==217423== ERROR: libFuzzer: deadly signal
#3332365: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60596 time: 3595s job: 60597 dft_time: 0
==217474== ERROR: libFuzzer: deadly signal
#3332369: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60597 time: 3595s job: 60598 dft_time: 0
==217557== ERROR: libFuzzer: deadly signal
#3332385: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60598 time: 3595s job: 60599 dft_time: 0
==217616== ERROR: libFuzzer: deadly signal
#3332619: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60599 time: 3595s job: 60600 dft_time: 0
==217674== ERROR: libFuzzer: deadly signal
#3332623: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60600 time: 3595s job: 60601 dft_time: 0
==217734== ERROR: libFuzzer: deadly signal
#3332627: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60601 time: 3595s job: 60602 dft_time: 0
==217794== ERROR: libFuzzer: deadly signal
#3332643: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60602 time: 3596s job: 60603 dft_time: 0
==217878== ERROR: libFuzzer: deadly signal
#3332661: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60603 time: 3596s job: 60604 dft_time: 0
==217962== ERROR: libFuzzer: deadly signal
#3332669: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60604 time: 3596s job: 60605 dft_time: 0
==218022== ERROR: libFuzzer: deadly signal
#3332687: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60605 time: 3596s job: 60606 dft_time: 0
==218083== ERROR: libFuzzer: deadly signal
#3332918: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60606 time: 3596s job: 60607 dft_time: 0
==218158== ERROR: libFuzzer: deadly signal
#3332922: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60607 time: 3596s job: 60608 dft_time: 0
==218250== ERROR: libFuzzer: deadly signal
#3332926: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60608 time: 3596s job: 60609 dft_time: 0
==218296== ERROR: libFuzzer: deadly signal
#3332934: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60609 time: 3596s job: 60610 dft_time: 0
==218366== ERROR: libFuzzer: deadly signal
#3332952: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60610 time: 3596s job: 60611 dft_time: 0
==218418== ERROR: libFuzzer: deadly signal
#3332956: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60611 time: 3596s job: 60612 dft_time: 0
==218483== ERROR: libFuzzer: deadly signal
#3332972: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60612 time: 3596s job: 60613 dft_time: 0
==218537== ERROR: libFuzzer: deadly signal
#3332980: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60613 time: 3596s job: 60614 dft_time: 0
==218583== ERROR: libFuzzer: deadly signal
#3332985: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60614 time: 3596s job: 60615 dft_time: 0
==218652== ERROR: libFuzzer: deadly signal
#3332993: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60615 time: 3596s job: 60616 dft_time: 0
==218704== ERROR: libFuzzer: deadly signal
#3332997: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60616 time: 3596s job: 60617 dft_time: 0
==218763== ERROR: libFuzzer: deadly signal
#3333014: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60617 time: 3596s job: 60618 dft_time: 0
==218815== ERROR: libFuzzer: deadly signal
#3333022: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60618 time: 3597s job: 60619 dft_time: 0
==218889== ERROR: libFuzzer: deadly signal
