INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1089 inline 8-bit counters): 1089 [0x55cc107debb0, 0x55cc107deff1), 
INFO: Loaded 1 PC tables (1089 PCs): 1089 [0x55cc107deff8,0x55cc107e3408), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545202.dir
==216677== ERROR: libFuzzer: deadly signal
#5087128: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57993 time: 3595s job: 57994 dft_time: 0
==216741== ERROR: libFuzzer: deadly signal
#5087133: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57994 time: 3595s job: 57995 dft_time: 0
==216844== ERROR: libFuzzer: deadly signal
#5087203: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57995 time: 3595s job: 57996 dft_time: 0
==216916== ERROR: libFuzzer: deadly signal
#5087273: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57996 time: 3595s job: 57997 dft_time: 0
==216966== ERROR: libFuzzer: deadly signal
#5087343: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57997 time: 3595s job: 57998 dft_time: 0
==217033== ERROR: libFuzzer: deadly signal
#5087348: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57998 time: 3595s job: 57999 dft_time: 0
==217104== ERROR: libFuzzer: deadly signal
#5087353: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57999 time: 3595s job: 58000 dft_time: 0
==217166== ERROR: libFuzzer: deadly signal
#5087402: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58000 time: 3595s job: 58001 dft_time: 0
==217233== ERROR: libFuzzer: deadly signal
#5087412: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58001 time: 3595s job: 58002 dft_time: 0
==217305== ERROR: libFuzzer: deadly signal
#5087482: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58002 time: 3595s job: 58003 dft_time: 0
==217367== ERROR: libFuzzer: deadly signal
#5087487: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58003 time: 3595s job: 58004 dft_time: 0
==217437== ERROR: libFuzzer: deadly signal
#5087492: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58004 time: 3595s job: 58005 dft_time: 0
==217506== ERROR: libFuzzer: deadly signal
#5088378: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58005 time: 3595s job: 58006 dft_time: 0
==217571== ERROR: libFuzzer: deadly signal
#5088388: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58006 time: 3595s job: 58007 dft_time: 0
==217655== ERROR: libFuzzer: deadly signal
#5088393: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58007 time: 3595s job: 58008 dft_time: 0
==217725== ERROR: libFuzzer: deadly signal
#5088985: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58008 time: 3596s job: 58009 dft_time: 0
==217784== ERROR: libFuzzer: deadly signal
#5089577: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58009 time: 3596s job: 58010 dft_time: 0
==217848== ERROR: libFuzzer: deadly signal
#5089648: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58010 time: 3596s job: 58011 dft_time: 0
==217938== ERROR: libFuzzer: deadly signal
#5089985: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58011 time: 3596s job: 58012 dft_time: 0
==217998== ERROR: libFuzzer: deadly signal
#5090055: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58012 time: 3596s job: 58013 dft_time: 0
==218096== ERROR: libFuzzer: deadly signal
#5090060: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58013 time: 3596s job: 58014 dft_time: 0
==218182== ERROR: libFuzzer: deadly signal
#5090075: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58014 time: 3596s job: 58015 dft_time: 0
==218236== ERROR: libFuzzer: deadly signal
#5090124: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58015 time: 3596s job: 58016 dft_time: 0
==218303== ERROR: libFuzzer: deadly signal
#5090129: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58016 time: 3596s job: 58017 dft_time: 0
==218359== ERROR: libFuzzer: deadly signal
#5090134: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58017 time: 3596s job: 58018 dft_time: 0
==218440== ERROR: libFuzzer: deadly signal
#5090139: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58018 time: 3596s job: 58019 dft_time: 0
==218535== ERROR: libFuzzer: deadly signal
#5090149: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58019 time: 3596s job: 58020 dft_time: 0
==218589== ERROR: libFuzzer: deadly signal
#5090220: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58020 time: 3596s job: 58021 dft_time: 0
==218682== ERROR: libFuzzer: deadly signal
#5090225: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58021 time: 3596s job: 58022 dft_time: 0
==218742== ERROR: libFuzzer: deadly signal
#5090234: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58022 time: 3597s job: 58023 dft_time: 0
==218837== ERROR: libFuzzer: deadly signal
#5090304: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58023 time: 3597s job: 58024 dft_time: 0
==218917== ERROR: libFuzzer: deadly signal
#5090309: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58024 time: 3597s job: 58025 dft_time: 0
==219044== ERROR: libFuzzer: deadly signal
#5090314: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58025 time: 3597s job: 58026 dft_time: 0
==219121== ERROR: libFuzzer: deadly signal
