INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1805 inline 8-bit counters): 1805 [0x55f1c26eeed0, 0x55f1c26ef5dd), 
INFO: Loaded 1 PC tables (1805 PCs): 1805 [0x55f1c26ef5e0,0x55f1c26f66b0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork971776.dir
#614723: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53872 time: 3595s job: 53873 dft_time: 0
==641845== ERROR: libFuzzer: deadly signal
#614735: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53873 time: 3595s job: 53874 dft_time: 0
==641900== ERROR: libFuzzer: deadly signal
#614741: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53874 time: 3595s job: 53875 dft_time: 0
==641986== ERROR: libFuzzer: deadly signal
#614747: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53875 time: 3595s job: 53876 dft_time: 0
==642044== ERROR: libFuzzer: deadly signal
#614758: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53876 time: 3595s job: 53877 dft_time: 0
==642106== ERROR: libFuzzer: deadly signal
#614768: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53877 time: 3595s job: 53878 dft_time: 0
==642172== ERROR: libFuzzer: deadly signal
#614774: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53878 time: 3595s job: 53879 dft_time: 0
==642239== ERROR: libFuzzer: deadly signal
#614783: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53879 time: 3595s job: 53880 dft_time: 0
==642307== ERROR: libFuzzer: deadly signal
#614794: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53880 time: 3595s job: 53881 dft_time: 0
==642378== ERROR: libFuzzer: deadly signal
#614804: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53881 time: 3595s job: 53882 dft_time: 0
==642446== ERROR: libFuzzer: deadly signal
#614835: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53882 time: 3595s job: 53883 dft_time: 0
==642504== ERROR: libFuzzer: deadly signal
#614844: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53883 time: 3595s job: 53884 dft_time: 0
==642588== ERROR: libFuzzer: deadly signal
#614850: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53884 time: 3596s job: 53885 dft_time: 0
==642654== ERROR: libFuzzer: deadly signal
#614861: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53885 time: 3596s job: 53886 dft_time: 0
==642715== ERROR: libFuzzer: deadly signal
#614873: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53886 time: 3596s job: 53887 dft_time: 0
==642773== ERROR: libFuzzer: deadly signal
#614879: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53887 time: 3596s job: 53888 dft_time: 0
==642841== ERROR: libFuzzer: deadly signal
#614889: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53888 time: 3596s job: 53889 dft_time: 0
==642898== ERROR: libFuzzer: deadly signal
#614898: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53889 time: 3596s job: 53890 dft_time: 0
==642962== ERROR: libFuzzer: deadly signal
