INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (972 inline 8-bit counters): 972 [0x5627c2e72710, 0x5627c2e72adc), 
INFO: Loaded 1 PC tables (972 PCs): 972 [0x5627c2e72ae0,0x5627c2e767a0), 
INFO: -fork=1: fuzzing in separate process(s)
#72051: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72050 time: 3596s job: 72051 dft_time: 0
==3305732== ERROR: libFuzzer: fuzz target exited
#72052: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72051 time: 3596s job: 72052 dft_time: 0
==3305765== ERROR: libFuzzer: fuzz target exited
#72053: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72052 time: 3596s job: 72053 dft_time: 0
==3305805== ERROR: libFuzzer: fuzz target exited
#72054: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72053 time: 3596s job: 72054 dft_time: 0
==3305838== ERROR: libFuzzer: fuzz target exited
#72055: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72054 time: 3596s job: 72055 dft_time: 0
==3305868== ERROR: libFuzzer: fuzz target exited
#72056: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72055 time: 3596s job: 72056 dft_time: 0
==3305901== ERROR: libFuzzer: fuzz target exited
#72057: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72056 time: 3596s job: 72057 dft_time: 0
==3305932== ERROR: libFuzzer: fuzz target exited
#72058: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72057 time: 3597s job: 72058 dft_time: 0
==3305965== ERROR: libFuzzer: fuzz target exited
#72059: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72058 time: 3597s job: 72059 dft_time: 0
==3306001== ERROR: libFuzzer: fuzz target exited
#72060: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72059 time: 3597s job: 72060 dft_time: 0
==3306033== ERROR: libFuzzer: fuzz target exited
#72061: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72060 time: 3597s job: 72061 dft_time: 0
==3306060== ERROR: libFuzzer: fuzz target exited
#72062: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72061 time: 3597s job: 72062 dft_time: 0
==3306096== ERROR: libFuzzer: fuzz target exited
#72063: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72062 time: 3597s job: 72063 dft_time: 0
==3306137== ERROR: libFuzzer: fuzz target exited
#72064: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72063 time: 3597s job: 72064 dft_time: 0
==3306164== ERROR: libFuzzer: fuzz target exited
#72065: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72064 time: 3597s job: 72065 dft_time: 0
==3306191== ERROR: libFuzzer: fuzz target exited
#72066: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72065 time: 3597s job: 72066 dft_time: 0
==3306225== ERROR: libFuzzer: fuzz target exited
#72067: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72066 time: 3597s job: 72067 dft_time: 0
==3306256== ERROR: libFuzzer: fuzz target exited
#72068: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72067 time: 3597s job: 72068 dft_time: 0
==3306292== ERROR: libFuzzer: fuzz target exited
