rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
show,src/lib.rs,27,"(label: &str, v: Option<String>) -> ()",yes,,show,show
strdup,src/lib.rs,38,(input: &str) -> String,yes,,strdup,url_data_inspect
strff,src/lib.rs,46,"(input: &str, n: usize) -> String",yes,,strff,main
strrwd,src/lib.rs,57,"(ptr: &str, n: usize) -> String",yes,,strrwd,strff
url_data_inspect,src/lib.rs,74,(data: &UrlData) -> (),yes,,url_data_inspect,url_free
url_free,src/lib.rs,93,(_data: Option<UrlData>) -> (),yes,,url_free,url_get_auth
url_is_ssh,src/lib.rs,96,(input: &str) -> bool,yes,,url_is_ssh,url_inspect
